,id,name,followers,genre,popularity
220,0NjXtqYWpnV055KhfZgtuY,Saad Lamjarred,1989388,arab pop,62
221,1GMwSpFzrLd12jUX15bHB6,BLOK3,612973,turkce drill,71
222,3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,20400696,agronejo,81
223,74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal,1438642,filmi,73
224,687cZJR45JO7jhk1LHIbgq,Tems,1241630,afro r&b,74
225,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,20864834,agronejo,81
226,2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,159790,modern bollywood,80
227,3a4bEvoyyeZPOLxCkSgPO6,A.V.G,29030,NA,55
228,3vvLuXEEf7sl3izJcw0GIn,Skryptonite,2226551,central asian hip hop,62
229,2YRyPiW98bpkARAS4B3OQP,Dei V,143666,trap latino,74
230,6nJ2MPazBFrwU07sGCpdcO,DESH,2559,lo-fi jazzhop,48
231,2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,4992916,argentine hip hop,79
232,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,597535,trap argentino,72
233,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,11324577,pop,78
234,3nqS8jzqmsPKFJTp0BOIel,Ikky,54695,punjabi pop,74
235,0mMqD2uqwvCjFvlzo6ayGi,DJ Maphorisa,2065216,amapiano,64
236,4yvRXgtIPiDMzH3wb1JPh7,Aleksandra Prijovic,220993,turbo folk,58
237,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,29994528,hip pop,86
238,3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,257722,trap queen,74
239,6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,709689,agronejo,76
240,1GKIlPFdcewHtpDVCQ8zmJ,Brray,318924,reggaeton,75
241,2R4kNOwHUUsuDYhKsESVbF,Artie 5ive,141499,italian hip hop,69
242,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,13080806,brooklyn drill,80
243,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,19779728,album rock,78
244,4aSlfXDn9R60UlbZEboBUy,YOVNGCHIMI,367799,trap latino,73
245,2elBjNSdBE2Y3f0j1mjrql,Jay Chou,5016081,c-pop,72
246,3JhNCzhSMTxs9WLGJJxWOY,Macklemore,2133604,pop rap,77
247,7kjSuFGKhLm8b5qXoMhRkJ,Libianca,348166,afrobeats,70
248,4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,586256,broadway,71
249,0m3D4grap8VFSzbJMqgNVk,Kumaar,24545,modern bollywood,77
250,5f7VJjfbwm532GiveGC0ZK,Lil Baby,15603623,atl hip hop,86
251,2vVtmqEXliBFxqCa3Juo5W,Niaks,121331,NA,63
252,0GOx72r5AAEKRGQFn3xqXK,GIMS,4164023,french hip hop,71
253,0a1SidMjD8D6EHvJph4n2H,Ruger,1810558,afrobeats,64
254,4myTppRgh0rojLxx8RycOp,Ryan Lewis,20547,pop rap,73
255,3cAisWS37sGCCtRgWfvrod,Diamond Platnumz,824035,azontobeats,58
256,0YpXDLh8xp0ojwc1GBKCxC,Mellow Strings,256,NA,52
257,7FOQfJbC3e4GNoheojERnF,SleazyWorld Go,246952,rva drill,62
258,7j6DKwmjbxvpQO8h914uEz,Ryan Castro,1906966,reggaeton,80
259,2iDVt6mFbtbDEZG5ax0dTi,Tulus,13530800,indonesian jazz,75
260,6RdcIWVKYYzNzjQRd3oyHS,Pinguini Tattici Nucleari,1617906,bergamo indie,71
261,4PLdCloYxu2bMKfuuB9lI5,MC PH,1032852,funk consciente,76
262,04gDigrS5kc9YWfZHwBETP,Maroon 5,41872712,pop,84
263,58r1rB5t3VF5X6yXGPequV,Maverick City Music,1355625,sda a cappella,70
264,70kkdajctXSbqSMJbQO424,Kacey Musgraves,1251144,classic texas country,76
265,19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao,1877536,filmi,77
266,1dpqJqIuNqideTvmxBsSku,Mabel Matiz,3614206,turkish pop,70
267,64d1rUxfizSAOE9UbMnUZd,Sezen Aksu,8307453,turkish pop,72
268,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,10409221,k-pop,88
269,4obzFoKoKRHIphyHzJ35G3,Becky G,14095681,latin pop,78
270,66ihevNkSYNzRAl44dx6jJ,Carin Leon,8332212,corrido,86
271,788jOE9HMUy9heDK8EIkon,Kamo Mphela,334287,amapiano,46
272,2q9wk5fkeU2C9CgCKdh4AN,Mc IG,1976460,funk carioca,79
273,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,16067063,hip hop,85
274,0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,4841742,corrido,80
275,3wOsYKZM0zcKNasi3I7fP4,Mahalini,9157883,indonesian pop,71
276,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,1924809,j-pop,71
277,6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,997784,corrido,82
278,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,5443982,colombian pop,84
279,0sP79Bq6zJj6EskteStNBW,Malie Donn,46174,dancehall,49
280,3NH8t45zOTqzlZgBvZRjvB,PNL,7764864,french hip hop,72
281,7eLcDZDYHXZCebtQmVFL25,Aitana,2796775,latin talent show,75
282,2z2TRvloJt4EfUNQp9rHAi,Alonzo,1849150,french hip hop,67
283,6sBSLIunx1Je0Y2T77wpkP,Motive,844835,turkish hip hop,72
284,76UCIJTB0jcJvBaL0CdIqx,Takagi & Ketra,496517,italian adult pop,67
285,76UCIJTB0jcJvBaL0CdIqx,Takagi & Ketra,496517,italian adult pop,67
286,64KEffDW9EtZ1y2vBYgq8T,Marshmello,35440248,brostep,82
287,31TPClRtHm23RisEBtV3X7,Justin Timberlake,13426695,dance pop,80
288,5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,4105576,trap argentino,78
289,7sP4SQ0WY6jfps1I19Ot7i,Fridayy,69545,NA,63
290,1hLiboQ98IQWhpKeP9vRFw,boygenius,543036,indie pop,70
291,4zoRNhOhsGX3w8yBAnFSQ8,Paul Russell,125435,indie r&b,65
292,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1366735,opm,68
293,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,3230174,k-pop girl group,74
294,51kyrUsAVqUBcoDEMFkX12,Hindia,2377141,indonesian pop,72
295,7vXDAI8JwjW531ouMGbfcp,TINI,7048097,latin pop,77
296,4YqwRbMLqGHRHLS1w2ZKse,Veigh,2213758,trap brasileiro,78
297,4oLeXFyACqeem2VImYeBFe,Fred again..,1018752,edm,77
298,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,39846892,electro house,80
299,1AgAVqo74e2q4FVvg0xpT7,Tedua,1562699,indie liguria,72
